concept,prefLabel,definition,broader
http://www.w3id.org/archlink/terms/conservationthesaurus/G78BD6,Zinn,"silberweißes, sehr weiches Metall mit dem chemischen Symbol Sn und der Ordnungszahl 50. Zinn wird hauptsächlich als Legierungsbestandteil (z.B. für (Zinn-)Bronze oder in Weichloten) verwendet, aber auch als reines Metall für die Herstellung von Geschirr und kleinen Kulturobjekten. Gegenüber Luftsauerstoff ist es weitgehend beständig, wird jedoch von Säuren (v.a. Salpetersäure) stark angegriffen. Bei der Lagerung von Zinnobjekten unterhalb 13°C tritt das Phänomen der sog. ""Zinnpest"" auf, bei der sich das stabile Zinn in α-Zinn umwandelt, was sich in Form von Flecken und Pusteln bemerktbar macht und schleichend zur vollständigen Verstörung des Zinnobjektes führt.",http://www.w3id.org/archlink/terms/conservationthesaurus/GB5BGF
http://www.w3id.org/archlink/terms/conservationthesaurus/F9GB13,Metalllegierung,"Gemenge aus mindestens zwei verschiedenen chemischen Elementen, wobei eines davon ein Metall ist. Durch das gezielte Zusammenschmelzen von Metallen werden Legierungen mit spezifischen Eigenschaften wie verbesserte Festigkeit, Korrosionsbeständigkeit oder Verarbeitbarkeit hergestellt. Im festen/abgekühlten Zustand können diese Legierungsbestandteile nicht ohne weiteres mit physikalischen Methoden getrennt werden. Benannt werden Legierungen nach dem mengenmäßig überwiegend enthaltenen Metall.",http://www.w3id.org/archlink/terms/conservationthesaurus/B5DD1A
http://www.w3id.org/archlink/terms/conservationthesaurus/G4AG5C,Edelmetalllegierung,"Legierung, bei dem der Hauptbestandteil ein Edelmetall ist.",http://www.w3id.org/archlink/terms/conservationthesaurus/F9GB13
http://www.w3id.org/archlink/terms/conservationthesaurus/DC5B2B,Goldlegierung,"Legierung mit Gold als Hauptbestandteil. Da reines Gold relativ weich ist, wird es zur Verbesserung der Härte und Beständigkeit mit anderen Metallen (hauptsächlich Kupfer und Silber) legiert. Kongruent zu reinen Goldobjekten sind auch an Objekten aus Goldlegierungen kaum materialbedingte konservatorische Maßnahmen notwendig. Je nach Höhe des Anteils an unedleren Bestandteilen kann es jedoch zu oberflächlicher Verfärbung kommen.",http://www.w3id.org/archlink/terms/conservationthesaurus/G4AG5C
http://www.w3id.org/archlink/terms/conservationthesaurus/AD789F,Silberlegierung,"Legierung mit Silber als Hauptbestandteil. Reines Silber ist für viele Anwendungsbereiche zu weich, sodass es häufig mit anderen Metallen (vor allem Kupfer) legiert wird. Neben den Korrosionserscheinungen des reinen Silbers treten in Legierungssystemen weitere Korrosionen auf. So kann sich z.B. bei kupferhaltigen Silberlegierungen Kupfer-I-oxid und Kupfersulfid bilden.",http://www.w3id.org/archlink/terms/conservationthesaurus/G4AG5C
http://www.w3id.org/archlink/terms/conservationthesaurus/F9F6DG,Elektrum,"natürlich vorkommende Legierung aus Gold und Silber, teils auch mit geringem Kupferanteil.",http://www.w3id.org/archlink/terms/conservationthesaurus/G4AG5C
http://www.w3id.org/archlink/terms/conservationthesaurus/FAG415,Unedelmetallegierung,"Legierung, bei dem der Hauptbestandteil durch ein unedles Metall gebildet wird.",http://www.w3id.org/archlink/terms/conservationthesaurus/F9GB13
http://www.w3id.org/archlink/terms/conservationthesaurus/BC75G1,Eisenlegierung,"Legierung mit Eisen als Hauptbestandteil, die aufgrund ihrer Härte und Verfügbarkeit seit der Antike weit verbreitet für die Herstellung von Werkzeugen, Waffen und landwirtschaftlichen Geräten genutzt wurde. Die Entdeckung der Eisenherstellung (Verhüttung) stellt einen wichtigen Fortschritt in der technologischen Metallverarbeitung der Menschheitsgeschichte dar und beeinflusste maßgeblich die Entwicklung und Expansion antiker Kulturen. Eisenlegierungen sind äußerst korrosionsanfällig, wobei das Korrosionsgeschehen stark von der Legierungszusammensetzung und der Gefügestruktur abhängig ist.",http://www.w3id.org/archlink/terms/conservationthesaurus/FAG415
http://www.w3id.org/archlink/terms/conservationthesaurus/A82D86,Buntmetalllegierung,"Sammelbezeichnung für farbige Legierungen mit schweren Nichteisenmetallen als Hauptbestandsteile. Wird in der archäologischen Restaurierung häufig als allgemeiner Oberbegriff für kupferhaltige Objektwerkstoffe verwendet, solange keine eindeutige Materialanalyse durchgeführt wurde.",http://www.w3id.org/archlink/terms/conservationthesaurus/FAG415
http://www.w3id.org/archlink/terms/conservationthesaurus/FGB415,Kupferlegierung,"Legierung mit Kupfer als Hauptbestandteil. Parallel zur Verwendung von reinem Kupfer, steht auch die Herstellung von Kupferlegierung am Beginn der historischen Metallverarbeitung der Menschheitsgeschichte. Aufgrund der reichen Verfügbarkeit, guten Verarbeitbarkeit und Verständigkeit wurde Kupfer für vielerlei Gegenstände (z.B. Schmuck, Waffen, Gefäße, etc.) verwendet.",http://www.w3id.org/archlink/terms/conservationthesaurus/A82D86
http://www.w3id.org/archlink/terms/conservationthesaurus/BF7D14,Bronze,"Kupferlegierung mit Zinn als zweiter Hauptbestandteil. Moderne Bronzen weisen in der Regel genormte Zusammensetzungen und gezielte Legierungsbestandteile auf. In historischen Bronzen finden sich, je nach Zeitstellung und Kultur, unter Umständen sehr unterschiedliche Zusammetzungen und andere Bestandteile, wie Zink, Silber, Blei, Antimon, Arsen, etc. Zur eindeutigen metallurgischen Bestimmung wird der Begriff Bronze häufig zusammen mit dem vorangestellten Hauptlegierungszusatz verwendet (Bleibronze, Arsenbronze, usw.). Bronze kann, je nach Legierungszusammensetzung, eine gelb-golde, rötliche bis weißliche Färbung aufweisen. Ebenso hängt die Verarbeitbarkeit maßgeblich von den Legierungszusammensetzten ab. Die Korrosionsanfälligkeit von Bronze entspricht im Wesentlichen der des Kupfers, wobei entsprechend der anderen Bestandteile weitere Korrosionserscheinungen auftreten können.",http://www.w3id.org/archlink/terms/conservationthesaurus/FGB415
http://www.w3id.org/archlink/terms/conservationthesaurus/C1DGG5,Arsenbronze,antike Bronzelegierung aus Kupfer und Arsen,http://www.w3id.org/archlink/terms/conservationthesaurus/BF7D14
http://www.w3id.org/archlink/terms/conservationthesaurus/A6D8BF,Zinnbronze,"Legierung aus Kupfer und Zinn, die je nach Gewichtsanteil der beiden Bestandteile unterschiedliche Eigenschaften aufweisen kann. Zinnbronzen mit höherem Kupfergehalt und Zinngehalten bis ca. 10% zeichenen sich durch eine gute Festigkeit und Umformbarkeit (Hämmer-, Walz und Schmiedbarkeit) aus, während Zinnbronzen mit einem höheren Zinngehalt an Härte und Dehnbarkeit aber auch Sprödigkeit zunehmen und daher hauptsächlich als Gusswerkstoff verwendet werden.",http://www.w3id.org/archlink/terms/conservationthesaurus/BF7D14
http://www.w3id.org/archlink/terms/conservationthesaurus/DG663G,Bleibronze,Kupferlegierung aus ca. 60% Kupfer und dem Hauptlegierungsbestandteil Blei (bis zu 28%).,http://www.w3id.org/archlink/terms/conservationthesaurus/BF7D14
http://www.w3id.org/archlink/terms/conservationthesaurus/A8B271,Messing,"Kupferlegierung mit mindestens 50% Kupfer und Zink als zweiten Hauptbestandteil in unterschiedlichen Massenanteilen. Weitere Legierungsbestandteile (z.B. Blei) können zur Einstellung bestimmter Eigenschaften zugegeben sein. Messing kann, je nach Legierungszusammensetzung, eine hellgelbe, goldene bis bräunliche Färbung aufweisen. Aus diesem Grund wird es unter anderem für Goldimitationen verwendet. Messing lässt sich sehr gut gießen, ebenso gut kalt verformen sowie spanlos und spanabhebend bearbeiten, wodurch es entsprechend für die Herstellung von gegossenen Gegenständen als auch getriebenen Gefäßen verwendet wird. Messing zeigt, ebenso wie Bronze, hauptsächlich Korrosionserscheinungen entsprechend des Hauptbestandteiles Kupfer.",http://www.w3id.org/archlink/terms/conservationthesaurus/FGB415
http://www.w3id.org/archlink/terms/conservationthesaurus/B93G16,Tombak,"Kupfer-Zink Legierung, mit hohem Kupferanteil (> 67%) . Ähnlich dem Messing, aber durch den höheren Kupferanteil von deutlich rötlicherer Farbe.",http://www.w3id.org/archlink/terms/conservationthesaurus/FGB415
http://www.w3id.org/archlink/terms/conservationthesaurus/F387GB,Bleilegierung,Legierung mit Blei als Hauptbestandteil.,http://www.w3id.org/archlink/terms/conservationthesaurus/A82D86
http://www.w3id.org/archlink/terms/conservationthesaurus/G6A358,Zinnlegierung,Legierung mit Zinn als Hauptbestandteil.,http://www.w3id.org/archlink/terms/conservationthesaurus/A82D86
http://www.w3id.org/archlink/terms/conservationthesaurus/F15DFD,Zinklegierung,Legierung mit Zink als Hauptbestandteil.,http://www.w3id.org/archlink/terms/conservationthesaurus/A82D86
http://www.w3id.org/archlink/terms/conservationthesaurus/CD3341,organisches Material,Allgemeiner Sammelbegriff für natürlich von Organismen gebildete Stoffe meist tierisch- oder pflanzlichen Ursprungs.,http://www.w3id.org/archlink/terms/conservationthesaurus/B51DAF
http://www.w3id.org/archlink/terms/conservationthesaurus/F2A45F,Materialien tierischen Ursprungs,Überbegriff für organische Materialien die aus verschiedenen Teilen eines Tieres hergestellt werden.,http://www.w3id.org/archlink/terms/conservationthesaurus/CD3341
http://www.w3id.org/archlink/terms/conservationthesaurus/BA652F,Kollagenhaltiges Material,Kollagenhaltiges tierisches Material,http://www.w3id.org/archlink/terms/conservationthesaurus/F2A45F
http://www.w3id.org/archlink/terms/conservationthesaurus/FCF757,Tierhaut,"organisches Material aus der vom Körper abgetrennten, äußersten Gewebehülle von Tieren, die durch verschiedene Verfahren haltbar und weiter verarbeitbar gemacht wurde.",http://www.w3id.org/archlink/terms/conservationthesaurus/BA652F
http://www.w3id.org/archlink/terms/conservationthesaurus/D73F9B,Leder,"Durch chemische Bearbeitung (Gerbung) haltbar gemachte Tierhaut. In der Antike und im Mittelalter wurde Leder vor allem für Schuhe, Kleidung und Behältnisse verwendet.",http://www.w3id.org/archlink/terms/conservationthesaurus/FCF757
http://www.w3id.org/archlink/terms/conservationthesaurus/B9C731,Pergament,"Von Haaren befreite und unter Spannung getrocknete sehr dünne Tierhaut, die aus einem Geflecht von Collagenfasern besteht und in den meisten Fällen von Schaf, Kalb oder Ziege gewonnen wurde. Durch mehrere Verarbeitungsschritte wie Kalken,  enthaaren, Schaben und das Trocknen unter Spannung entsteht ein nahezu durchsichtiges, festes Material, welches zum Schreiben, Buchbinden oder für andere Zwecke verwendet wird.",http://www.w3id.org/archlink/terms/conservationthesaurus/FCF757
http://www.w3id.org/archlink/terms/conservationthesaurus/A82C8C,Rohhaut,"Von Fleisch und Haaren befreite und getrocknete, ungegerbte Tierhaut",http://www.w3id.org/archlink/terms/conservationthesaurus/FCF757
http://www.w3id.org/archlink/terms/conservationthesaurus/GG2137,Tierfell,"organisches Material aus der vom Körper abgetrennten, mit dichten Haaren besetzten Haut von Säugetieren.",http://www.w3id.org/archlink/terms/conservationthesaurus/BA652F
http://www.w3id.org/archlink/terms/conservationthesaurus/AB4988,Fasern tierischen Ursprungs,"Natürliche Fasern, die aus den Haarfollikeln oder den Sekreten von Tieren gewonnen werden und basierend auf ihren jeweiligen Eigenschaften im kulturellen Kontext für verschiedene Anwendungen wie z.B. Kleidung, Fäden oder Dekor verarbeitet wurden.",http://www.w3id.org/archlink/terms/conservationthesaurus/F2A45F
http://www.w3id.org/archlink/terms/conservationthesaurus/G899F5,Haar,"Natürliche, faserartige Gebilde aus Keratin, die aus der Haut von Säugetieren wachsen.",http://www.w3id.org/archlink/terms/conservationthesaurus/AB4988
http://www.w3id.org/archlink/terms/conservationthesaurus/AA992C,Menschenhaar,natürliches Material aus den Haaren des menschlichen Kopfes.,http://www.w3id.org/archlink/terms/conservationthesaurus/G899F5
http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG,Tierhaar,"natürliches Material aus dem Fell, Pelz oder der Behaarung von Tieren.",http://www.w3id.org/archlink/terms/conservationthesaurus/G899F5
http://www.w3id.org/archlink/terms/conservationthesaurus/DF96G1,Wolle,"tierische Faser (Stapelfaser) aus dem charakteristischen Haarkleid des Schafes. Die Bezeichnung Wolle wird im allgemeinem Sprachgebrauch auch für die Haare anderer Tierarten verwendet, allerdings sollte zur Differenzierung deren Namen hinzugefügt werden.",http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/CG49C6,Alpakawolle,tierische Fasern aus dem Wollhaar des Alpakas,http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/AA47GG,Mohairwolle,tierische Fasern aus der Wolle/den Haaren der Angoraziege,http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/B576DA,Kaschmirwolle,tierische Fasern aus der Wolle/den Haaren der Kaschmirziege,http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/A9AC1A,Kaninchenhaar,tierische Fasern aus den Haaren des Haus- oder Wildkaninchens,http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/BG71D3,Schweineborsten,tierische Fasern aus den borstigen Haaren des Hausschweines,http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/D51GAA,Ziegenhaar,tierische Fasern aus den Haaren der Hausziege,http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/G43GG2,Pferdehaar,"tierische Fasern aus dem Fell, der Mähne oder dem Schweif des Pferdes",http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/G593G4,Wildschweinborsten,"tierische Fasern aus den Haaren des Wildschweines, mit außergewöhnlich kräftigen und harten Erscheinungsform im Vergleich zu Haaren anderer Tierarten.",http://www.w3id.org/archlink/terms/conservationthesaurus/F8DFCG
http://www.w3id.org/archlink/terms/conservationthesaurus/F6F797,Seide,"feine, glänzende Naturfaser, die aus den Kokons von Seidenspinnern, wie dem domestizierten Bombyx mori, ausgeschieden und zu Geweben verarbeitet wird.",http://www.w3id.org/archlink/terms/conservationthesaurus/AB4988
http://www.w3id.org/archlink/terms/conservationthesaurus/G16647,Tussahseide,"Seide, die aus den Kokons des Tussahspinners (Antheraea mit diversen Unterarten) hergestellt wird.",http://www.w3id.org/archlink/terms/conservationthesaurus/F6F797
http://www.w3id.org/archlink/terms/conservationthesaurus/G21F5B,Muschelseide,"Seide, die durch das Sekret bestimmter Muscheln (Steckmuschel – Pinna nobilis) hergestellt wird..",http://www.w3id.org/archlink/terms/conservationthesaurus/F6F797
http://www.w3id.org/archlink/terms/conservationthesaurus/B6443F,Feder,"tierische, oft bunte Keratinstruktur, welche aus der Haut von Vögen gebildet wird und als Federkleid die äußerste Hauptbedeckung von Vögeln bildet.",http://www.w3id.org/archlink/terms/conservationthesaurus/AB4988
http://www.w3id.org/archlink/terms/conservationthesaurus/F3G8D1,Materialien pflanzlichen Ursprungs,Überbegriff für Materialien die aus Pflanzen gewonnen werden.,http://www.w3id.org/archlink/terms/conservationthesaurus/CD3341
http://www.w3id.org/archlink/terms/conservationthesaurus/G465BG,Samen,"organisches Material aus der für die Ausbreitung dienenden Gebewebestruktur von Pflanzen, bestehend aus Samenschale, Embryo und Nährgewebe.",http://www.w3id.org/archlink/terms/conservationthesaurus/F3G8D1
http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25,pflanzliche Fasern,"Natürliche Fasern, die aus pflanzlichem Material gewonnen und für verschiedene Anwendungen, wie Textilien, Seilen, Körben, Schnüren oder Matten, verwendet wurden.",http://www.w3id.org/archlink/terms/conservationthesaurus/F3G8D1
http://www.w3id.org/archlink/terms/conservationthesaurus/BC685F,Flachs,"natürliche Stengelfaser, die aus der Leinpflanze (Linum usitatissimum) durch verschiedene Bearbeitungsschritte gewonnen wird.",http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25
http://www.w3id.org/archlink/terms/conservationthesaurus/GB5A92,Leinen,Materialbezeichnung für Garn- und Stoffprodukte bestehend aus Flachsfasern.,http://www.w3id.org/archlink/terms/conservationthesaurus/BC685F
http://www.w3id.org/archlink/terms/conservationthesaurus/A2159C,Bast,"natürliche, lange Fasern pflanzlicher Herkunft, die auf Rinden, Stengeln, Blättern oder Fruchtschalen gewonnen werden.",http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25
http://www.w3id.org/archlink/terms/conservationthesaurus/A5G856,Baumwolle,"natürliche, einzellige Fasern aus den Samen der Baumwollpflanze (Gossypium)",http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25
http://www.w3id.org/archlink/terms/conservationthesaurus/C3AF5A,Hanf,"natürliche Stengelfaser, gewonnen aus dem Bast der Hanfpflanze (Cannabis sativa) durch verschiedene Bearbeitungsschritte",http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25
http://www.w3id.org/archlink/terms/conservationthesaurus/G8533D,Kapok,aus den Samenhülsen des Kapokbaumes bestehende natürliche Fasern,http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25
http://www.w3id.org/archlink/terms/conservationthesaurus/AG4634,Jute,"natürliche Stengelfaser, die aus den Pflanzen der Corchorusarten (Corchorus capsularis und Corchorus olitorius)  gewonnen wird.",http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25
http://www.w3id.org/archlink/terms/conservationthesaurus/GFDB57,Stroh,"getrocknete Halme pflanzlicher Fasern, die für eine Vielzahl unterschiedlicher Zwecke verwendet werden, z.B. zum Weben, Flechten oder als Magerungsmittel für Ton",http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25
http://www.w3id.org/archlink/terms/conservationthesaurus/D53ADA,Papyrus,,http://www.w3id.org/archlink/terms/conservationthesaurus/DD9C25
http://www.w3id.org/archlink/terms/conservationthesaurus/C2FCA7,Rinde,"natürliches Material, welches als äußerste Schicht die holzigen Teile von Bäumen bedeckt.",http://www.w3id.org/archlink/terms/conservationthesaurus/F3G8D1
http://www.w3id.org/archlink/terms/conservationthesaurus/A9A858,Holz,"natürliches Material, nachwachsender Rohstoff; die Hauptbestandteile von Holz sind Cellulose, Hemicellulose und Lignin, während des Wachstums werden Extraktstoffe und Mineralien in den Zellen eingelagert. Holz ist aufgrund seiner Festigkeit, Vielseitigkeit und Verfügbarkeit ein wichtiger Rohstoff für Bau-, Möbel- und Kunsthandwerksanwendungen.",http://www.w3id.org/archlink/terms/conservationthesaurus/F3G8D1
http://www.w3id.org/archlink/terms/conservationthesaurus/C47769,rezentes Holz,"Holz, das frisch geschlagen oder abgelagert ist, jedoch im Vergleich zu archäologischem Holz noch keinen nennenswerten Abbauprozessen ausgesetzt war",http://www.w3id.org/archlink/terms/conservationthesaurus/A9A858
http://www.w3id.org/archlink/terms/conservationthesaurus/C947B5,archäologisches Holz,"Holz aus archäologischem Kontext. Damit sich Holz während der Bodenlagerung erhält, sind wassergesättigte und sauerstoffarme Bodenbedingungen nötig. Während Holz als organisches Material unter normalen Bedingungen in relativ kurzer Zeit verrottet, indem die chemischen Bestandteile von Mikroorganismen wie Pilzen und Bakterien sowie tierischen Schädlingen angegriffen und zersetzt werden, wird die Holzsubstanz unter sauerstofffreien oder zumindest sauerstoffreduzierten Bedingungen nur von anaeroben Bakterien zersetzt. Bei den Zersetzungsprozessen werden Cellulose und Hemicellulose nach und nach abgebaut, während das Ligningerüst oftmals weitestgehend erhalten bleibt. Die geschädigten und geschwächten Zellen werden durch Wasser ausgefüllt und sorgt dafür, dass die ursprüngliche Form des Holzartefakt erhalten bleibt.",http://www.w3id.org/archlink/terms/conservationthesaurus/A9A858
http://www.w3id.org/archlink/terms/conservationthesaurus/DFG875,[Holzart],"Stützwort zur Thesaurus-Strukturierung, das die nachfolgenden Begriffe als Arten von Holz klassifiziert",http://www.w3id.org/archlink/terms/conservationthesaurus/A9A858
http://www.w3id.org/archlink/terms/conservationthesaurus/FC3FD6,Nadelholz,"Von Bäumen der botanischen Gruppe der Gymnospermen (Nadelbäume) gewonnenes Holz. Eine einzige Art von Zellen, die Tracheiden, übernimmt sowohl die Stabilitäts- als auch die Wassertransportfunktion, was dem Nadelholz einen relativ einfachen und regelmäßigen Zellaufbau verleiht. Dank ihrer Anpassung an kurze Vegetationsperioden können Nadelbäume auch in Regionen mit langen, kalten Wintern oder in großen Höhen überleben, wo Laubbäume nicht mehr wachsen.",http://www.w3id.org/archlink/terms/conservationthesaurus/DFG875
http://www.w3id.org/archlink/terms/conservationthesaurus/G356D5,Eibenholz,"Holz der Eibe. Eibenholz zeigte eine gelb bis gold-braune Färbung, oft mit rötlich- violettem Schimmer und eine feine, gleichmäßige Maserung. Charakteristisch sind seine hohe Elastizität, Härte sowie Dichte, wobei es noch gut drechsel- und schnitzbare ist.",http://www.w3id.org/archlink/terms/conservationthesaurus/FC3FD6
http://www.w3id.org/archlink/terms/conservationthesaurus/G2944B,Fichtenholz,"Holz von der Fichte, einem der häufigsten Nadelbäume in Europa. Fichtenholz zeichnet sich durch sein helles, gelblich- bis rötlichweißes und relativ weiches Holz mit feiner Struktur aus. Es lässt sich mit verschiedenen Werkzeugen und Techniken gut bearbeiten, zeigt jedoch eine geringe Dauerhaftigkeit, da es pilz- und insektenanfällig und nicht witterungsfest ist.",http://www.w3id.org/archlink/terms/conservationthesaurus/FC3FD6
http://www.w3id.org/archlink/terms/conservationthesaurus/A73FD7,Kiefernholz,"Holz von der Kiefer, einem in Europa weit verbreiteten Nadelbaum. Das Holz zeichnet sich durch eine gelblich bis rötlichweiße Färbung aus, die im Laufe der Zeit bis rötlich-braun nachdunkelt, sowie eine kräftige und dekorative Maserung. Kiefernholz ist sehr harzreich und verströmt beim Bearbeiten einen typischen, aromatischen Duft. Es lässt sich mit den gängigen Holzwerkzeugen gut bearbeiten und wird daher für vielerlei Verwendungen (u.A. für Möbel, Türen, Fenster, Fußböden und als Funierholz) genutzt.",http://www.w3id.org/archlink/terms/conservationthesaurus/FC3FD6
